Различия в данных ожидаемых и реальных связано с малым количеством отправленных заявок. Как можно увидеть, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания, тем меньше их вероятность простоя и отклонения.
Теоретические данные отличаются от экспермиментальных в связи стем, что отправляется относительно малое количество заявок (100 штук в каждом эксперименте)
Вероятность простоя тем меньше, чем ближе друг к другу интенсивность потока заявок и интенсивность их обслуживания
Вероятность отказа тем меньше чем больше интенсивность обслуживания заявок по сранению с интенсивностью их потока
То же самое можно сказать про относительную и абсолютную пропускную способность, а так же про среднее число занятых каналов
Отрицательные значения иногда встречаются из-за ограничений вычисления чисел с плавающей точкой

Количестве каналов: 5
лямбда   мю       P0(эксп.- теор.)   Pn(эксп.- теор.)   Q(эксп. - теор.)   A(эксп. - теор.)   k(эксп. - теор.)
0,50000; 0,50000; 0,00214 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 0,50000 - 0,49846; 0,99826 - 0,99692
0,50000; 1,00000; 0,49932 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 0,50000 - 0,49992; 0,50068 - 0,49992
0,50000; 1,50000; 0,66638 - 0,71655; 0,00000 - 0,00002; 1,00000 - 0,99998; 0,50000 - 0,49999; 0,33362 - 0,33333
0,50000; 2,00000; 0,74513 - 0,77881; 0,00000 - 0,00001; 1,00000 - 0,99999; 0,50000 - 0,50000; 0,25479 - 0,25000
0,50000; 2,50000; 0,79931 - 0,81873; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,20069 - 0,20000
0,50000; 3,00000; 0,83069 - 0,84648; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,16931 - 0,16667
0,50000; 3,50000; 0,85408 - 0,86688; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,14592 - 0,14286
0,50000; 4,00000; 0,86922 - 0,88250; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,13078 - 0,12500
0,50000; 4,50000; 0,88584 - 0,89484; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,11416 - 0,11111
0,50000; 5,00000; 0,89991 - 0,90484; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,10009 - 0,10000
0,50000; 5,50000; 0,90855 - 0,91310; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,09145 - 0,09091
0,50000; 6,00000; 0,91575 - 0,92004; 0,00000 - 0,00000; 1,00000 - 1,00000; 0,50000 - 0,50000; 0,08425 - 0,08333
1,00000; 0,50000; 0,00016 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 1,00000 - 0,96190; 1,97222 - 1,92381
1,00000; 1,00000; 0,00281 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 1,00000 - 0,99692; 0,99719 - 0,99692
1,00000; 1,50000; 0,34009 - 0,51374; 0,00000 - 0,00056; 1,00000 - 0,99944; 1,00000 - 0,99944; 0,65991 - 0,66629
1,00000; 2,00000; 0,49735 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 1,00000 - 0,99984; 0,50265 - 0,49992
1,00000; 2,50000; 0,60292 - 0,67036; 0,00000 - 0,00006; 1,00000 - 0,99994; 1,00000 - 0,99994; 0,39693 - 0,39998
1,00000; 3,00000; 0,66583 - 0,71655; 0,00000 - 0,00002; 1,00000 - 0,99998; 1,00000 - 0,99998; 0,33417 - 0,33333
1,00000; 3,50000; 0,71027 - 0,75149; 0,00000 - 0,00001; 1,00000 - 0,99999; 1,00000 - 0,99999; 0,28957 - 0,28571
1,00000; 4,00000; 0,74147 - 0,77881; 0,00000 - 0,00001; 1,00000 - 0,99999; 1,00000 - 0,99999; 0,25853 - 0,25000
1,00000; 4,50000; 0,77116 - 0,80074; 0,00000 - 0,00000; 1,00000 - 1,00000; 1,00000 - 1,00000; 0,22884 - 0,22222
1,00000; 5,00000; 0,80132 - 0,81873; 0,00000 - 0,00000; 1,00000 - 1,00000; 1,00000 - 1,00000; 0,19837 - 0,20000
1,00000; 5,50000; 0,81994 - 0,83375; 0,00000 - 0,00000; 1,00000 - 1,00000; 1,00000 - 1,00000; 0,18006 - 0,18182
1,00000; 6,00000; 0,83318 - 0,84648; 0,00000 - 0,00000; 1,00000 - 1,00000; 1,00000 - 1,00000; 0,16667 - 0,16667
1,50000; 0,50000; 0,00024 - 0,06107; 0,00000 - 0,12366; 1,00000 - 0,87634; 1,50000 - 1,31450; 2,95647 - 2,62901
1,50000; 1,00000; 0,00024 - 0,22735; 0,00000 - 0,01439; 1,00000 - 0,98561; 1,50000 - 1,47842; 1,49434 - 1,47842
1,50000; 1,50000; 0,00709 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 1,50000 - 1,49538; 0,99315 - 0,99692
1,50000; 2,00000; 0,23710 - 0,47287; 0,00000 - 0,00094; 1,00000 - 0,99906; 1,50000 - 1,49860; 0,76266 - 0,74930
1,50000; 2,50000; 0,40203 - 0,54903; 0,00000 - 0,00036; 1,00000 - 0,99964; 1,50000 - 1,49947; 0,59797 - 0,59979
1,50000; 3,00000; 0,49115 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 1,50000 - 1,49976; 0,50885 - 0,49992
1,50000; 3,50000; 0,56510 - 0,65149; 0,00000 - 0,00008; 1,00000 - 0,99992; 1,50000 - 1,49988; 0,43490 - 0,42854
1,50000; 4,00000; 0,61128 - 0,68732; 0,00000 - 0,00004; 1,00000 - 0,99996; 1,50000 - 1,49994; 0,38872 - 0,37498
1,50000; 4,50000; 0,65979 - 0,71655; 0,00000 - 0,00002; 1,00000 - 0,99998; 1,50000 - 1,49996; 0,34021 - 0,33333
1,50000; 5,00000; 0,70515 - 0,74083; 0,00000 - 0,00002; 1,00000 - 0,99998; 1,50000 - 1,49998; 0,29462 - 0,30000
1,50000; 5,50000; 0,72903 - 0,76131; 0,00000 - 0,00001; 1,00000 - 0,99999; 1,50000 - 1,49999; 0,27097 - 0,27272
1,50000; 6,00000; 0,74764 - 0,77881; 0,00000 - 0,00001; 1,00000 - 0,99999; 1,50000 - 1,49999; 0,25236 - 0,25000
2,00000; 0,50000; 0,00031 - 0,02913; 0,00000 - 0,24854; 1,00000 - 0,75146; 2,00000 - 1,50291; 3,84228 - 3,00583
2,00000; 1,00000; 0,00031 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 2,00000 - 1,92381; 1,95331 - 1,92381
2,00000; 1,50000; 0,00031 - 0,26674; 0,00000 - 0,00937; 1,00000 - 0,99063; 2,00000 - 1,98127; 1,28950 - 1,32084
2,00000; 2,00000; 0,00278 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 2,00000 - 1,99385; 0,99784 - 0,99692
2,00000; 2,50000; 0,21766 - 0,44996; 0,00000 - 0,00123; 1,00000 - 0,99877; 2,00000 - 1,99754; 0,78234 - 0,79902
2,00000; 3,00000; 0,33942 - 0,51374; 0,00000 - 0,00056; 1,00000 - 0,99944; 2,00000 - 1,99887; 0,66058 - 0,66629
2,00000; 3,50000; 0,43025 - 0,56490; 0,00000 - 0,00029; 1,00000 - 0,99971; 2,00000 - 1,99943; 0,56944 - 0,57126
2,00000; 4,00000; 0,49073 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 2,00000 - 1,99968; 0,50927 - 0,49992
2,00000; 4,50000; 0,55731 - 0,64124; 0,00000 - 0,00009; 1,00000 - 0,99991; 2,00000 - 1,99981; 0,44269 - 0,44440
2,00000; 5,00000; 0,61168 - 0,67036; 0,00000 - 0,00006; 1,00000 - 0,99994; 2,00000 - 1,99989; 0,38832 - 0,39998
2,00000; 5,50000; 0,64213 - 0,69517; 0,00000 - 0,00004; 1,00000 - 0,99996; 2,00000 - 1,99993; 0,35756 - 0,36362
2,00000; 6,00000; 0,67511 - 0,71655; 0,00000 - 0,00002; 1,00000 - 0,99998; 2,00000 - 1,99995; 0,32489 - 0,33333
2,50000; 0,50000; 0,00039 - 0,01530; 0,00000 - 0,39834; 1,00000 - 0,60166; 2,50000 - 1,50414; 4,82981 - 3,00829
2,50000; 1,00000; 0,00039 - 0,09211; 0,00000 - 0,07496; 1,00000 - 0,92504; 2,50000 - 2,31260; 2,46082 - 2,31260
2,50000; 1,50000; 0,00039 - 0,19423; 0,00000 - 0,02081; 1,00000 - 0,97919; 2,50000 - 2,44796; 1,63348 - 1,63198
2,50000; 2,00000; 0,00039 - 0,28914; 0,00000 - 0,00735; 1,00000 - 0,99265; 2,50000 - 2,48162; 1,24941 - 1,24081
2,50000; 2,50000; 0,00862 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 2,50000 - 2,49231; 0,99099 - 0,99692
2,50000; 3,00000; 0,15959 - 0,43533; 0,00000 - 0,00146; 1,00000 - 0,99854; 2,50000 - 2,49636; 0,84041 - 0,83212
2,50000; 3,50000; 0,27241 - 0,48996; 0,00000 - 0,00076; 1,00000 - 0,99924; 2,50000 - 2,49810; 0,72759 - 0,71374
2,50000; 4,00000; 0,35190 - 0,53552; 0,00000 - 0,00043; 1,00000 - 0,99957; 2,50000 - 2,49894; 0,64810 - 0,62473
2,50000; 4,50000; 0,43169 - 0,57391; 0,00000 - 0,00025; 1,00000 - 0,99975; 2,50000 - 2,49937; 0,56831 - 0,55541
2,50000; 5,00000; 0,50960 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 2,50000 - 2,49961; 0,49040 - 0,49992
